ID_Caso,Fecha_Ingreso,Sucursal_Propietaria,Ejecutivo,Tipificacion,Subtipificacion,Dias_Cartera,Estado,Prioridad,Canal_Ingreso,Monto_Compra,Cumple_SLA_7_dias,M20,Contacto_Cliente,Escalado,Resultado_Gestion
CASO-100043,2026-08-05,Quilicura,Ejecutivo_08,Consulta transaccional,Pago,15,En gestión,Media,App,88848,No,No,Sí,No,Resuelto
CASO-100044,2026-08-14,Las Condes,Ejecutivo_14,Anulación de compra,Solicitud cliente,6,Cerrado,Baja,App,160199,Sí,No,No,No,Resuelto
CASO-100045,2026-07-21,Quilicura,Ejecutivo_11,Consulta transaccional,Abono,30,Escalado,Alta,Call Center,62692,No,Sí,Sí,No,Resuelto
CASO-100046,2026-08-18,Quilicura,Ejecutivo_08,Reembolso pendiente,Pendiente banco,2,En gestión,Media,Call Center,230461,Sí,No,Sí,No,Cliente contactado
CASO-100047,2026-08-05,Ñuñoa,Ejecutivo_08,Producto no recibido,No entregado,15,En gestión,Alta,Web,42500,No,No,Sí,Sí,Pendiente información
CASO-100048,2026-08-09,Maipú,Ejecutivo_15,Devolución,Retiro pendiente,11,En gestión,Alta,Tienda,38785,No,No,Sí,Sí,Cliente contactado
CASO-100049,2026-08-12,Maipú,Ejecutivo_13,Servicio adicional,Armado,8,En gestión,Media,Web,89146,No,No,Sí,No,Derivado
CASO-100050,2026-07-25,La Florida,Ejecutivo_07,Problema de facturación,Cobro incorrecto,26,Pendiente,Media,Call Center,225198,No,Sí,No,No,Resuelto
CASO-100051,2026-08-15,Quilicura,Ejecutivo_08,Producto defectuoso,Cambio,5,Pendiente,Baja,App,231051,Sí,No,Sí,No,Cliente contactado
CASO-100052,2026-08-14,Maipú,Ejecutivo_13,Retraso en la entrega,Nueva fecha disponible,6,Pendiente,Media,Call Center,52997,Sí,No,Sí,No,Cliente contactado
CASO-100053,2026-07-25,Maipú,Ejecutivo_06,Devolución,En revisión,26,Pendiente,Baja,Tienda,12170,No,Sí,No,Sí,Derivado
CASO-100054,2026-08-16,Puente Alto,Ejecutivo_02,Producto no recibido,Despacho en ruta,4,Pendiente,Alta,Web,149375,Sí,No,Sí,Sí,Pendiente información
CASO-100055,2026-08-01,Santiago Centro,Ejecutivo_02,Problema de facturación,Cobro incorrecto,19,Pendiente,Alta,Web,76743,No,No,Sí,No,Cliente contactado
CASO-100056,2026-07-31,La Florida,Ejecutivo_08,Devolución,Recepcionado,20,Pendiente,Alta,App,213924,No,No,No,Sí,Derivado
CASO-100057,2026-07-18,Providencia,Ejecutivo_11,Producto no recibido,Despacho en ruta,33,Pendiente,Media,Web,40187,No,Sí,Sí,No,Pendiente información
CASO-100058,2026-07-31,La Florida,Ejecutivo_01,Descuento no aplicado,Convenio,20,Pendiente,Media,Web,201106,No,No,Sí,No,Pendiente información
CASO-100059,2026-08-08,La Florida,Ejecutivo_06,Descuento no aplicado,Cupón,12,Cerrado,Media,Call Center,207848,No,No,Sí,No,Resuelto
CASO-100060,2026-08-19,Providencia,Ejecutivo_13,Consulta transaccional,Pago,1,Pendiente,Alta,Web,137965,Sí,No,No,No,Derivado
CASO-100061,2026-07-25,Puente Alto,Ejecutivo_06,Devolución,En revisión,26,Escalado,Baja,Web,149825,No,Sí,No,No,Pendiente información
CASO-100062,2026-08-06,Quilicura,Ejecutivo_11,Descuento no aplicado,Cupón,14,En gestión,Baja,Web,43090,No,No,No,No,Resuelto
CASO-100063,2026-08-09,Ñuñoa,Ejecutivo_04,Producto no recibido,Listo para retiro,11,En gestión,Media,App,200994,No,No,Sí,No,En seguimiento
CASO-100064,2026-08-07,Maipú,Ejecutivo_12,Consulta transaccional,Abono,13,Pendiente,Alta,App,212840,No,No,Sí,Sí,Derivado
CASO-100065,2026-08-17,Santiago Centro,Ejecutivo_11,Producto no recibido,Despacho en ruta,3,Cerrado,Media,Call Center,64412,Sí,No,Sí,No,Resuelto
CASO-100066,2026-07-18,Las Condes,Ejecutivo_13,Consulta transaccional,Abono,33,Pendiente,Alta,Web,61030,No,Sí,Sí,No,Pendiente información
CASO-100067,2026-08-14,Quilicura,Ejecutivo_15,Devolución,Recepcionado,6,Pendiente,Alta,App,22509,Sí,No,Sí,Sí,Derivado
CASO-100068,2026-08-10,Providencia,Ejecutivo_11,Problema de facturación,Boleta,10,Pendiente,Media,App,73653,No,No,No,No,Resuelto
CASO-100069,2026-08-15,Ñuñoa,Ejecutivo_13,Servicio adicional,Despacho adicional,5,Cerrado,Media,Call Center,173001,Sí,No,No,No,Resuelto
CASO-100070,2026-07-28,Quilicura,Ejecutivo_10,Anulación de compra,Solicitud cliente,23,Escalado,Media,Tienda,134626,No,Sí,Sí,Sí,Derivado
CASO-100071,2026-08-10,Providencia,Ejecutivo_03,Problema de facturación,Factura,10,En gestión,Baja,Web,184363,No,No,Sí,No,Derivado
CASO-100072,2026-08-18,Maipú,Ejecutivo_13,Reembolso pendiente,Pendiente sistema,2,Cerrado,Media,App,9042,Sí,No,Sí,No,Resuelto
CASO-100073,2026-08-07,Puente Alto,Ejecutivo_11,Producto no recibido,Listo para retiro,13,Pendiente,Baja,Call Center,198646,No,No,Sí,No,Pendiente información
CASO-100074,2026-08-18,Quilicura,Ejecutivo_03,Reembolso pendiente,Pendiente banco,2,Pendiente,Alta,Call Center,42201,Sí,No,No,Sí,Resuelto
CASO-100075,2026-07-31,Providencia,Ejecutivo_15,Problema de facturación,Factura,20,Pendiente,Media,Call Center,228354,No,No,No,No,Resuelto
CASO-100076,2026-08-19,Maipú,Ejecutivo_15,Consulta transaccional,Abono,1,En gestión,Media,App,19016,Sí,No,Sí,No,Pendiente información
CASO-100077,2026-08-11,Maipú,Ejecutivo_13,Anulación de compra,Stock,9,En gestión,Alta,Web,30022,No,No,Sí,Sí,Pendiente información
CASO-100078,2026-08-03,Puente Alto,Ejecutivo_13,Anulación de compra,Error compra,17,En gestión,Alta,Tienda,237034,No,No,Sí,Sí,Cliente contactado
CASO-100079,2026-08-11,La Florida,Ejecutivo_01,Retraso en la entrega,Nueva fecha disponible,9,Pendiente,Media,Web,32938,No,No,Sí,No,En seguimiento
CASO-100080,2026-08-09,Quilicura,Ejecutivo_03,Anulación de compra,Stock,11,Pendiente,Media,Call Center,179750,No,No,Sí,No,Pendiente información
CASO-100081,2026-08-05,Quilicura,Ejecutivo_04,Servicio adicional,Instalación,15,En gestión,Media,Call Center,123171,No,No,Sí,No,Pendiente información
CASO-100082,2026-07-27,La Florida,Ejecutivo_11,Anulación de compra,Solicitud cliente,24,Pendiente,Media,Tienda,237320,No,Sí,Sí,Sí,Cliente contactado
CASO-100083,2026-07-16,Santiago Centro,Ejecutivo_11,Problema de facturación,Factura,35,Pendiente,Media,Web,66720,No,Sí,No,No,Cliente contactado
CASO-100084,2026-07-21,Santiago Centro,Ejecutivo_05,Retraso en la entrega,Nueva fecha disponible,30,Escalado,Alta,Call Center,110514,No,Sí,Sí,Sí,Derivado
CASO-100085,2026-07-20,La Florida,Ejecutivo_03,Problema de facturación,Boleta,31,Escalado,Media,Call Center,192877,No,Sí,Sí,Sí,Resuelto
CASO-100086,2026-08-15,Ñuñoa,Ejecutivo_06,Problema de facturación,Cobro incorrecto,5,Pendiente,Media,Web,210395,Sí,No,Sí,No,En seguimiento
CASO-100087,2026-08-06,Las Condes,Ejecutivo_11,Producto defectuoso,Evaluación técnica,14,Cerrado,Alta,Call Center,138058,No,No,Sí,No,Resuelto
CASO-100088,2026-08-09,Maipú,Ejecutivo_14,Retraso en la entrega,Entregado,11,Pendiente,Baja,Web,81478,No,No,Sí,No,Pendiente información
CASO-100089,2026-08-11,Las Condes,Ejecutivo_15,Problema de facturación,Cobro incorrecto,9,En gestión,Media,Call Center,219066,No,No,Sí,No,Cliente contactado
CASO-100090,2026-07-17,Maipú,Ejecutivo_12,Producto defectuoso,Evaluación técnica,34,Pendiente,Media,Web,148233,No,Sí,Sí,No,Resuelto
CASO-100091,2026-08-08,La Florida,Ejecutivo_05,Producto defectuoso,Evaluación técnica,12,Cerrado,Media,Tienda,156761,No,No,Sí,No,Resuelto
CASO-100092,2026-07-16,Santiago Centro,Ejecutivo_03,Retraso en la entrega,Entregado,35,Escalado,Media,Call Center,132101,No,Sí,No,Sí,Resuelto
CASO-100093,2026-07-16,Ñuñoa,Ejecutivo_06,Reembolso pendiente,En validación,35,Pendiente,Media,Tienda,99699,No,Sí,Sí,Sí,Cliente contactado
CASO-100094,2026-08-19,Santiago Centro,Ejecutivo_06,Consulta transaccional,Pago,1,Pendiente,Alta,Call Center,196996,Sí,No,No,No,Derivado
CASO-100095,2026-07-29,Las Condes,Ejecutivo_15,Servicio adicional,Despacho adicional,22,Pendiente,Media,Call Center,237383,No,Sí,Sí,No,Derivado
CASO-100096,2026-07-22,Santiago Centro,Ejecutivo_14,Consulta transaccional,Estado transacción,29,Pendiente,Baja,App,104273,No,Sí,Sí,Sí,Resuelto
CASO-100097,2026-08-12,La Florida,Ejecutivo_08,Anulación de compra,Error compra,8,Cerrado,Media,Web,210380,No,No,Sí,No,Resuelto
CASO-100098,2026-08-09,Ñuñoa,Ejecutivo_02,Servicio adicional,Armado,11,Pendiente,Media,Tienda,237200,No,No,Sí,No,Pendiente información
CASO-100099,2026-08-06,Las Condes,Ejecutivo_01,Anulación de compra,Solicitud cliente,14,En gestión,Media,Tienda,68745,No,No,No,No,Derivado
CASO-100100,2026-07-21,Ñuñoa,Ejecutivo_04,Problema de facturación,Boleta,30,Escalado,Baja,Tienda,137283,No,Sí,Sí,No,Pendiente información
CASO-100101,2026-07-16,Quilicura,Ejecutivo_07,Producto no recibido,Despacho en ruta,35,Escalado,Alta,Web,136301,No,Sí,No,Sí,Cliente contactado
CASO-100102,2026-07-30,Maipú,Ejecutivo_15,Retraso en la entrega,Entregado,21,Pendiente,Media,App,123972,No,Sí,No,Sí,Derivado
CASO-100103,2026-08-15,Santiago Centro,Ejecutivo_11,Servicio adicional,Despacho adicional,5,Pendiente,Media,Tienda,184614,Sí,No,Sí,No,Derivado
CASO-100104,2026-08-01,Ñuñoa,Ejecutivo_10,Servicio adicional,Armado,19,En gestión,Baja,Web,150417,No,No,Sí,No,Pendiente información
CASO-100105,2026-08-06,Puente Alto,Ejecutivo_03,Problema de facturación,Boleta,14,Cerrado,Baja,Call Center,106489,No,No,Sí,No,Resuelto
CASO-100106,2026-07-25,Quilicura,Ejecutivo_03,Reembolso pendiente,En validación,26,Escalado,Media,Tienda,36819,No,Sí,No,Sí,Pendiente información
CASO-100107,2026-08-16,Santiago Centro,Ejecutivo_05,Producto defectuoso,Garantía,4,Pendiente,Baja,Tienda,52779,Sí,No,No,No,Pendiente información
CASO-100108,2026-07-26,Maipú,Ejecutivo_05,Problema de facturación,Factura,25,Pendiente,Baja,App,218493,No,Sí,Sí,Sí,En seguimiento
CASO-100109,2026-07-26,Ñuñoa,Ejecutivo_13,Descuento no aplicado,Promoción,25,Escalado,Media,Tienda,97244,No,Sí,No,No,Cliente contactado
CASO-100110,2026-08-02,Las Condes,Ejecutivo_10,Producto defectuoso,Cambio,18,Pendiente,Media,Tienda,70584,No,No,Sí,No,Cliente contactado
CASO-100111,2026-08-12,Maipú,Ejecutivo_03,Retraso en la entrega,Sin nueva fecha,8,Pendiente,Media,Call Center,156022,No,No,Sí,No,Derivado
CASO-100112,2026-08-06,Puente Alto,Ejecutivo_09,Producto defectuoso,Evaluación técnica,14,Cerrado,Baja,Web,151245,No,No,Sí,No,Resuelto
CASO-100113,2026-07-19,Ñuñoa,Ejecutivo_04,Reembolso pendiente,En validación,32,Pendiente,Media,Web,63032,No,Sí,Sí,Sí,Resuelto
CASO-100114,2026-07-18,Providencia,Ejecutivo_13,Producto defectuoso,Cambio,33,Pendiente,Baja,App,120074,No,Sí,No,Sí,Derivado
CASO-100115,2026-07-28,Providencia,Ejecutivo_13,Retraso en la entrega,Entregado,23,Pendiente,Media,Call Center,104273,No,Sí,Sí,Sí,Resuelto
CASO-100116,2026-08-05,La Florida,Ejecutivo_15,Reembolso pendiente,Pendiente sistema,15,Cerrado,Media,Web,33036,No,No,Sí,No,Resuelto
CASO-100117,2026-07-18,Santiago Centro,Ejecutivo_03,Consulta transaccional,Pago,33,Pendiente,Media,Call Center,248929,No,Sí,Sí,Sí,Pendiente información
CASO-100118,2026-07-26,Las Condes,Ejecutivo_11,Servicio adicional,Armado,25,Pendiente,Media,Web,76356,No,Sí,Sí,Sí,En seguimiento
CASO-100119,2026-08-03,La Florida,Ejecutivo_02,Servicio adicional,Instalación,17,En gestión,Baja,Call Center,150364,No,No,Sí,No,En seguimiento
CASO-100120,2026-07-18,Ñuñoa,Ejecutivo_10,Anulación de compra,Stock,33,Pendiente,Baja,App,8052,No,Sí,Sí,Sí,Derivado
CASO-100121,2026-08-18,Providencia,Ejecutivo_13,Consulta transaccional,Estado transacción,2,En gestión,Baja,Tienda,49377,Sí,No,Sí,No,Derivado
CASO-100122,2026-08-06,Providencia,Ejecutivo_11,Consulta transaccional,Estado transacción,14,En gestión,Alta,App,225389,No,No,Sí,Sí,Derivado
CASO-100123,2026-08-14,Providencia,Ejecutivo_09,Producto defectuoso,Cambio,6,Pendiente,Media,Web,203910,Sí,No,Sí,No,Pendiente información
CASO-100124,2026-08-14,Ñuñoa,Ejecutivo_04,Servicio adicional,Despacho adicional,6,En gestión,Alta,App,72819,Sí,No,Sí,Sí,Resuelto
CASO-100125,2026-08-17,Providencia,Ejecutivo_03,Retraso en la entrega,Entregado,3,En gestión,Media,Tienda,118689,Sí,No,Sí,No,Derivado
CASO-100126,2026-08-13,Maipú,Ejecutivo_07,Devolución,En revisión,7,En gestión,Media,App,244175,Sí,No,Sí,No,Derivado
CASO-100127,2026-08-12,Quilicura,Ejecutivo_08,Devolución,Retiro pendiente,8,Cerrado,Media,Web,151692,No,No,Sí,No,Resuelto
CASO-100128,2026-08-05,Ñuñoa,Ejecutivo_11,Reembolso pendiente,En validación,15,Pendiente,Media,Web,35461,No,No,Sí,No,Pendiente información
CASO-100129,2026-07-22,Las Condes,Ejecutivo_14,Servicio adicional,Instalación,29,Escalado,Baja,App,25750,No,Sí,Sí,Sí,Pendiente información
CASO-100130,2026-07-18,Quilicura,Ejecutivo_02,Servicio adicional,Armado,33,Pendiente,Alta,Tienda,234498,No,Sí,Sí,No,Resuelto
CASO-100131,2026-07-21,La Florida,Ejecutivo_07,Devolución,En revisión,30,Pendiente,Media,App,224791,No,Sí,No,No,Derivado
CASO-100132,2026-07-24,Las Condes,Ejecutivo_12,Servicio adicional,Despacho adicional,27,Escalado,Media,Tienda,14472,No,Sí,No,Sí,Cliente contactado
CASO-100133,2026-07-22,Quilicura,Ejecutivo_05,Producto defectuoso,Evaluación técnica,29,Escalado,Alta,Call Center,74263,No,Sí,Sí,Sí,Cliente contactado
CASO-100134,2026-07-18,Puente Alto,Ejecutivo_15,Descuento no aplicado,Promoción,33,Escalado,Media,Tienda,117036,No,Sí,Sí,Sí,Derivado
CASO-100135,2026-07-24,Providencia,Ejecutivo_11,Producto no recibido,Despacho en ruta,27,Escalado,Baja,Call Center,193674,No,Sí,No,No,Derivado
CASO-100136,2026-07-18,Puente Alto,Ejecutivo_05,Consulta transaccional,Pago,33,Pendiente,Baja,App,30523,No,Sí,Sí,Sí,Derivado
CASO-100137,2026-08-16,Santiago Centro,Ejecutivo_03,Anulación de compra,Error compra,4,Pendiente,Baja,Tienda,166838,Sí,No,Sí,No,Derivado
CASO-100138,2026-07-29,Santiago Centro,Ejecutivo_05,Reembolso pendiente,Pendiente sistema,22,Pendiente,Baja,Call Center,108262,No,Sí,No,No,Resuelto
CASO-100139,2026-08-18,Quilicura,Ejecutivo_12,Descuento no aplicado,Promoción,2,Pendiente,Media,Call Center,71060,Sí,No,Sí,No,Cliente contactado
CASO-100140,2026-08-10,Puente Alto,Ejecutivo_02,Devolución,Recepcionado,10,Cerrado,Media,Call Center,14079,No,No,Sí,No,Resuelto
CASO-100141,2026-08-15,Ñuñoa,Ejecutivo_04,Consulta transaccional,Abono,5,En gestión,Media,Web,144471,Sí,No,Sí,No,Cliente contactado
CASO-100142,2026-08-10,Las Condes,Ejecutivo_06,Servicio adicional,Armado,10,Cerrado,Media,App,65726,No,No,Sí,No,Resuelto
CASO-100143,2026-07-18,Puente Alto,Ejecutivo_01,Anulación de compra,Solicitud cliente,33,Pendiente,Media,Call Center,97906,No,Sí,Sí,Sí,Pendiente información
CASO-100144,2026-08-07,Santiago Centro,Ejecutivo_10,Servicio adicional,Instalación,13,Pendiente,Media,Tienda,21532,No,No,Sí,No,Derivado
CASO-100145,2026-07-20,Puente Alto,Ejecutivo_04,Retraso en la entrega,Sin nueva fecha,31,Pendiente,Media,Call Center,127689,No,Sí,Sí,No,Derivado
CASO-100146,2026-07-27,Ñuñoa,Ejecutivo_06,Retraso en la entrega,Entregado,24,Escalado,Media,Web,218429,No,Sí,Sí,Sí,Derivado
CASO-100147,2026-08-05,Puente Alto,Ejecutivo_09,Anulación de compra,Stock,15,En gestión,Media,App,48162,No,No,Sí,No,Pendiente información
CASO-100148,2026-07-22,Las Condes,Ejecutivo_14,Anulación de compra,Error compra,29,Escalado,Media,Web,139821,No,Sí,Sí,Sí,Resuelto
CASO-100149,2026-08-12,La Florida,Ejecutivo_11,Devolución,Recepcionado,8,Pendiente,Media,Web,16353,No,No,Sí,No,Resuelto
CASO-100150,2026-08-15,Ñuñoa,Ejecutivo_11,Anulación de compra,Solicitud cliente,5,Pendiente,Media,Web,117313,Sí,No,Sí,No,En seguimiento
CASO-100151,2026-07-22,Santiago Centro,Ejecutivo_13,Producto defectuoso,Evaluación técnica,29,Pendiente,Media,Tienda,33477,No,Sí,Sí,Sí,Resuelto
CASO-100152,2026-08-16,Las Condes,Ejecutivo_02,Servicio adicional,Instalación,4,Cerrado,Media,App,160642,Sí,No,No,No,Resuelto
CASO-100153,2026-08-08,Puente Alto,Ejecutivo_11,Descuento no aplicado,Promoción,12,En gestión,Alta,App,91373,No,No,Sí,No,Derivado
CASO-100154,2026-08-18,Puente Alto,Ejecutivo_07,Problema de facturación,Factura,2,Pendiente,Media,Tienda,147509,Sí,No,Sí,No,Cliente contactado
CASO-100155,2026-07-24,La Florida,Ejecutivo_06,Anulación de compra,Stock,27,Pendiente,Baja,App,174176,No,Sí,Sí,Sí,Resuelto
CASO-100156,2026-07-20,Santiago Centro,Ejecutivo_02,Reembolso pendiente,Pendiente banco,31,Pendiente,Media,Web,199442,No,Sí,Sí,Sí,Resuelto
CASO-100157,2026-07-25,Santiago Centro,Ejecutivo_08,Retraso en la entrega,Nueva fecha disponible,26,Pendiente,Media,App,9551,No,Sí,Sí,No,Pendiente información
CASO-100158,2026-07-24,Maipú,Ejecutivo_07,Producto defectuoso,Garantía,27,Pendiente,Media,Tienda,73359,No,Sí,Sí,No,En seguimiento
CASO-100159,2026-08-15,Santiago Centro,Ejecutivo_11,Consulta transaccional,Estado transacción,5,En gestión,Media,Web,190952,Sí,No,Sí,No,Pendiente información
CASO-100160,2026-07-31,La Florida,Ejecutivo_05,Problema de facturación,Factura,20,Cerrado,Baja,Tienda,148988,No,No,Sí,No,Resuelto
CASO-100161,2026-08-09,Providencia,Ejecutivo_12,Descuento no aplicado,Promoción,11,Pendiente,Media,Call Center,131150,No,No,No,No,Cliente contactado
CASO-100162,2026-08-10,Maipú,Ejecutivo_05,Problema de facturación,Factura,10,En gestión,Media,Web,216775,No,No,No,No,En seguimiento
CASO-100163,2026-08-14,Maipú,Ejecutivo_07,Anulación de compra,Error compra,6,Cerrado,Media,Web,177517,Sí,No,Sí,No,Resuelto
CASO-100164,2026-08-12,Puente Alto,Ejecutivo_09,Devolución,Recepcionado,8,Pendiente,Alta,App,52636,No,No,Sí,Sí,Resuelto
CASO-100165,2026-07-28,Puente Alto,Ejecutivo_11,Retraso en la entrega,Sin nueva fecha,23,Pendiente,Media,Web,209999,No,Sí,Sí,Sí,Resuelto
CASO-100166,2026-07-25,Santiago Centro,Ejecutivo_15,Retraso en la entrega,Sin nueva fecha,26,Escalado,Media,Tienda,214266,No,Sí,Sí,No,En seguimiento
CASO-100167,2026-08-08,Maipú,Ejecutivo_09,Consulta transaccional,Abono,12,En gestión,Media,App,34685,No,No,Sí,No,Resuelto
CASO-100168,2026-07-25,Quilicura,Ejecutivo_09,Devolución,Recepcionado,26,Pendiente,Media,Call Center,56134,No,Sí,Sí,No,Pendiente información
CASO-100169,2026-08-07,Puente Alto,Ejecutivo_06,Servicio adicional,Despacho adicional,13,En gestión,Media,Tienda,93916,No,No,No,No,Pendiente información
CASO-100170,2026-08-02,La Florida,Ejecutivo_10,Producto no recibido,Listo para retiro,18,Pendiente,Alta,Call Center,112967,No,No,Sí,Sí,Resuelto
